well_id,barcode,mapped_batch_id,mapped_control,cpmd_pg,dmso_mM,pert_type,site_id,cell_tot,area,min_diameter,max_diameter,seeded,painted
D05,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,201,118.04062099829346,0.8318326404009102,197.7448848841005,2023-07-04  10:20:00,2023-07-06  10:40:00
D05,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,202,131.11053938067653,0.8165382711198712,207.54561105199448,2023-07-04  10:20:00,2023-07-06  10:40:00
D06,PB000089,2,1,4.0000000000000004e-11,1.0,negcon,s1,169,120.2909444672429,0.8515585662559624,190.85409871726424,2023-07-04  10:20:30,2023-07-06  10:40:00
D06,PB000089,2,1,4.0000000000000004e-11,1.0,negcon,s2,265,127.16974100126976,0.778720779711677,221.2635018048118,2023-07-04  10:20:30,2023-07-06  10:40:00
D07,PB000093,2,1,3.90625e-11,10.0,negcon,s1,188,131.68734139039196,0.7750835570373161,223.9299935777025,2023-07-04  10:21:30,2023-07-06  10:40:00
D07,PB000093,2,1,3.90625e-11,10.0,negcon,s2,218,129.86950051432103,0.7476548279520441,234.48942931525676,2023-07-04  10:21:30,2023-07-06  10:40:00
D08,PB000096,2,1,3.90625e-11,10.0,negcon,s1,169,119.78026192363052,0.7756562171879976,208.572588363694,2023-07-04  10:47:00,2023-07-06  12:49:00
D08,PB000096,2,1,3.90625e-11,10.0,negcon,s2,226,130.775360741641,0.8029217780635615,214.6736988248514,2023-07-04  10:47:00,2023-07-06  12:49:00
D09,PB000094,3,0,3.90625e-11,10.0,poscon,s1,80,115.26486045836626,0.8178899116452835,193.9717949940417,2023-07-04  10:46:30,2023-07-06  12:49:00
D09,PB000094,3,0,3.90625e-11,10.0,poscon,s2,82,110.34869897638458,0.7929210848019248,186.07541971398985,2023-07-04  10:46:30,2023-07-06  12:49:00
D10,PB000089,0,0,4e-10,10.0,poscon,s1,189,124.8726365098491,0.8183745026298929,201.92281473555184,2023-07-04  10:20:30,2023-07-06  10:40:00
D10,PB000089,0,0,4e-10,10.0,poscon,s2,264,127.29852821219478,0.8299269204706579,209.50790362919216,2023-07-04  10:20:30,2023-07-06  10:40:00
D11,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,210,122.91287007997168,0.7486656132597415,210.62457310200605,2023-07-04  10:20:00,2023-07-06  10:40:00
D11,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,241,128.1438181877201,0.8140382962705801,213.18635199535944,2023-07-04  10:20:00,2023-07-06  10:40:00
D12,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,118,119.89827150947887,0.7587837227206765,202.52392935604055,2023-07-04  10:20:00,2023-07-06  10:40:00
D12,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,129,133.30700922967367,0.828234685407576,218.49879874121163,2023-07-04  10:20:00,2023-07-06  10:40:00
D13,PB000090,3,0,4e-10,10.0,poscon,s1,65,83.7906682207094,0.7843990822094041,147.19737379387993,2023-07-04  10:45:30,2023-07-06  12:49:00
D13,PB000090,3,0,4e-10,10.0,poscon,s2,41,113.40337156955135,0.9086029304202936,171.54576008226593,2023-07-04  10:45:30,2023-07-06  12:49:00
D14,PB000089,1,1,1e-10,14079098.93766799,negcon,s1,142,118.57787130913808,0.8405580354955753,198.51978674795893,2023-07-04  10:20:30,2023-07-06  10:40:00
D14,PB000089,1,1,1e-10,14079098.93766799,negcon,s2,200,116.25042108468014,0.781916093395748,212.1104054286056,2023-07-04  10:20:30,2023-07-06  10:40:00
D15,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,221,132.2153539037817,0.8342772655194621,218.51452426656303,2023-07-04  10:20:00,2023-07-06  10:40:00
D15,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,259,128.96744667756573,0.7828616473250788,221.0476600436995,2023-07-04  10:20:00,2023-07-06  10:40:00
D16,PB000091,0,0,4e-10,10.0,poscon,s1,163,125.70220109866078,0.7725228127933572,208.7592568823631,2023-07-04  10:21:00,2023-07-06  10:40:00
D16,PB000091,0,0,4e-10,10.0,poscon,s2,240,134.21046604731487,0.7641859736605208,223.5166905581736,2023-07-04  10:21:00,2023-07-06  10:40:00
D17,PB000102,3,0,3.90625e-11,10.0,poscon,s1,208,120.61101528548144,0.7809165397643109,203.5174358179235,2023-07-04  10:48:30,2023-07-06  12:49:00
D17,PB000102,3,0,3.90625e-11,10.0,poscon,s2,217,128.81413283073994,0.8373193078963703,201.2038457634271,2023-07-04  10:48:30,2023-07-06  12:49:00
D18,PB000093,2,1,4.0000000000000004e-11,1.0,negcon,s1,91,101.08340240755903,0.7863128047395626,162.59189977722673,2023-07-04  10:21:30,2023-07-06  10:40:00
D18,PB000093,2,1,4.0000000000000004e-11,1.0,negcon,s2,168,114.2776576566377,0.8097923494256694,180.654241748593,2023-07-04  10:21:30,2023-07-06  10:40:00
D19,PB000095,1,1,1e-10,14079098.93766799,negcon,s1,168,124.60935353380384,0.7987692657297076,213.015263534148,2023-07-04  10:22:00,2023-07-06  10:40:00
D19,PB000095,1,1,1e-10,14079098.93766799,negcon,s2,181,123.9363904914732,0.7753914312216555,225.2279437954317,2023-07-04  10:22:00,2023-07-06  10:40:00
D20,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,89,101.95724645239522,0.7694988513973338,175.49210263533274,2023-07-04  10:20:00,2023-07-06  10:40:00
D20,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,140,128.41985007173042,0.8215278672243423,198.67787183244764,2023-07-04  10:20:00,2023-07-06  10:40:00
D21,PB000089,2,1,3.90625e-11,10.0,negcon,s1,159,120.44484622957556,0.7716288149087073,207.7588434418402,2023-07-04  10:20:30,2023-07-06  10:40:00
D21,PB000089,2,1,3.90625e-11,10.0,negcon,s2,150,123.49322747930628,0.7955882272308813,207.6048250884458,2023-07-04  10:20:30,2023-07-06  10:40:00
D22,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,193,125.9248720514661,0.809038504043017,204.8656001479405,2023-07-04  10:21:30,2023-07-06  10:40:00
D22,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,139,102.86216680405477,0.8140244559846165,174.92754178579364,2023-07-04  10:21:30,2023-07-06  10:40:00
D23,PB000094,1,1,1e-10,14079098.93766799,negcon,s1,135,112.63274949045253,0.806986733452398,192.33395424188964,2023-07-04  10:46:30,2023-07-06  12:49:00
D23,PB000094,1,1,1e-10,14079098.93766799,negcon,s2,292,128.24726161839754,0.7995144219883934,212.97155325670676,2023-07-04  10:46:30,2023-07-06  12:49:00
E02,PB000089,3,0,4.0000000000000004e-11,1.0,poscon,s1,185,117.9721089461156,0.7794968967330209,204.50053400640385,2023-07-04  10:20:30,2023-07-06  10:40:00
E02,PB000089,3,0,4.0000000000000004e-11,1.0,poscon,s2,253,111.48924601610284,0.7766073156166515,194.38131904803768,2023-07-04  10:20:30,2023-07-06  10:40:00
E03,PB000096,0,0,3.90625e-11,10.0,poscon,s1,21,15.09102719882696,0.7166225395619138,27.202390877355644,2023-07-04  10:47:00,2023-07-06  12:49:00
E03,PB000096,0,0,3.90625e-11,10.0,poscon,s2,20,58.41518532743942,0.7456995085619811,126.04184275138142,2023-07-04  10:47:00,2023-07-06  12:49:00
E04,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,184,126.26537538601092,0.7796365436381081,216.24535836276965,2023-07-04  10:20:00,2023-07-06  10:40:00
E04,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,183,128.730907113536,0.7989005799394838,212.83155693012563,2023-07-04  10:20:00,2023-07-06  10:40:00
E05,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,224,121.9318845898015,0.7896711292667975,211.07777002471755,2023-07-04  10:21:30,2023-07-06  10:40:00
E05,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,221,122.93424941019946,0.7924589971068912,207.18630451549043,2023-07-04  10:21:30,2023-07-06  10:40:00
E06,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,257,116.84917057587728,0.7844949184342693,195.66924709422477,2023-07-04  10:20:00,2023-07-06  10:40:00
E06,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,223,104.27598972348768,0.7571121879752457,190.55075988937224,2023-07-04  10:20:00,2023-07-06  10:40:00
E07,PB000090,0,0,4e-10,10.0,poscon,s1,229,114.36994045945734,0.7836882968923281,196.77853907804416,2023-07-04  10:45:30,2023-07-06  12:49:00
E07,PB000090,0,0,4e-10,10.0,poscon,s2,236,122.22760910709616,0.789478183652398,203.13135771419516,2023-07-04  10:45:30,2023-07-06  12:49:00
E08,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,205,143.21295764278946,0.8320713532175182,235.55463103205724,2023-07-04  10:20:00,2023-07-06  10:40:00
E08,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,179,118.26056349955827,0.7990573427430883,196.400760061258,2023-07-04  10:20:00,2023-07-06  10:40:00
E09,PB000095,2,1,4.0000000000000004e-11,1.0,negcon,s1,66,98.11046033915994,0.7570250848522697,185.375645452935,2023-07-04  10:22:00,2023-07-06  10:40:00
E09,PB000095,2,1,4.0000000000000004e-11,1.0,negcon,s2,82,105.07446426745378,0.7974843819290903,174.69189849497195,2023-07-04  10:22:00,2023-07-06  10:40:00
E10,PB000093,0,0,4.0000000000000004e-11,1.0,poscon,s1,51,16.028560600786115,0.8825925208944169,24.33193688757286,2023-07-04  10:21:30,2023-07-06  10:40:00
E10,PB000093,0,0,4.0000000000000004e-11,1.0,poscon,s2,52,10.24726062545792,0.7926347133563999,19.132031837315388,2023-07-04  10:21:30,2023-07-06  10:40:00
E11,PB000099,2,1,4.0000000000000004e-11,1.0,negcon,s1,217,129.86210291797605,0.8250439699180004,211.6245861838929,2023-07-04  10:23:00,2023-07-06  10:40:00
E11,PB000099,2,1,4.0000000000000004e-11,1.0,negcon,s2,202,122.20292240827158,0.7542012610195534,217.87529124326025,2023-07-04  10:23:00,2023-07-06  10:40:00
E12,PB000101,2,1,3.90625e-11,10.0,negcon,s1,74,99.72452358034442,0.8212712004573952,167.24656127186873,2023-07-04  10:23:30,2023-07-06  10:40:00
E12,PB000101,2,1,3.90625e-11,10.0,negcon,s2,94,98.94430272967608,0.7642377523140407,178.72609388423507,2023-07-04  10:23:30,2023-07-06  10:40:00
E13,PB000093,0,0,4e-10,10.0,poscon,s1,224,119.99955390609183,0.7903731297769283,207.79231187206767,2023-07-04  10:21:30,2023-07-06  10:40:00
E13,PB000093,0,0,4e-10,10.0,poscon,s2,206,114.79711105346824,0.7035987062054806,209.27294948827648,2023-07-04  10:21:30,2023-07-06  10:40:00
E14,PB000090,1,1,1e-10,14079098.93766799,negcon,s1,24,69.45530492685648,0.9452704112294216,120.4816136447928,2023-07-04  10:45:30,2023-07-06  12:49:00
E14,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,34,97.1076296084524,0.8300830987454596,164.42208259894198,2023-07-04  10:45:30,2023-07-06  12:49:00
E15,PB000092,1,1,1e-10,14079098.93766799,negcon,s1,267,133.422780355832,0.818754149999359,217.42096166929983,2023-07-04  10:46:00,2023-07-06  12:49:00
E15,PB000092,1,1,1e-10,14079098.93766799,negcon,s2,298,134.65011994793474,0.8086031902526203,217.2130301213154,2023-07-04  10:46:00,2023-07-06  12:49:00
E16,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,219,136.6068493383235,0.8171223596731645,227.4416442648682,2023-07-04  10:20:00,2023-07-06  10:40:00
